horizon,target_quarter,raw_forecast,quarter_sin,quarter_cos,last_value,seasonal_lag4,mean_last4,std_last4,recent_change,gpr_correction,gpr_std,corrected_forecast,target_period
1.0,1,5358356.63,0.0,1.0,6158478.0,5524079.0,5564604.75,494356.27751368494,1355381.0,147649.1786206899,115456.35545750831,5506005.808620689,2026 Q1
2.0,2,5599582.05,1.0,6.123233995736766e-17,6158478.0,5524079.0,5564604.75,494356.27751368494,1355381.0,147649.17862078117,115456.35545750831,5747231.228620781,2026 Q2
3.0,3,4659004.09,1.2246467991473532e-16,-1.0,6158478.0,5524079.0,5564604.75,494356.27751368494,1355381.0,153963.52614850207,112069.7768184956,4812967.616148502,2026 Q3
4.0,4,5973723.66,-1.0,-1.8369701987210297e-16,6158478.0,5524079.0,5564604.75,494356.27751368494,1355381.0,147649.1786206899,115456.35545750831,6121372.83862069,2026 Q4
